Date,SPY
2001-01-02,0.0
2001-01-03,1.0480347954605436
2001-01-04,0.989235809955802
2001-01-05,0.9673571845768222
2001-01-08,1.0077404025383212
2001-01-09,0.9973598252729944
2001-01-10,1.0175692242314804
2001-01-11,1.0009458126034572
2001-01-12,0.9981099154459236
2001-01-16,1.0063917435370906
2001-01-17,1.004587518467712
2001-01-18,1.0099523151011853
2001-01-19,0.9943193645669408
2001-01-22,1.006645396376171
2001-01-23,1.007875721890773
2001-01-24,1.0029878145524325
2001-01-25,0.9974794540042834
2001-01-26,0.9988513440186678
2001-01-29,1.0053359473029866
2001-01-30,1.0087847204717955
2001-01-31,0.9943395180743054
2001-02-01,1.0066414896118847
2001-02-02,0.977307244676827
2001-02-05,1.007344200843822
2001-02-06,0.9970543189262172
2001-02-07,0.994830149852534
2001-02-08,0.9883431690519949
2001-02-09,0.9903845627366419
2001-02-12,1.0114535849873667
2001-02-13,0.9918258847201412
2001-02-14,0.9984877674907764
2001-02-15,1.0096926989126165
2001-02-16,0.9779504402373279
2001-02-20,0.9845865458600609
2001-02-21,0.978424877520667
2001-02-22,1.001512666055954
2001-02-23,0.9932435359577899
2001-02-26,1.021287176164213
2001-02-27,0.9907539914728555
2001-02-28,0.9803065473709153
2001-03-01,1.005244059083762
2001-03-02,0.992054851116751
2001-03-05,1.0091412865498106
2001-03-06,1.0107423755515306
2001-03-07,1.0071386494972538
2001-03-08,1.0011022790943938
2001-03-09,0.9704213402326358
2001-03-12,0.9571985087770819
2001-03-13,1.0164300519786396
2001-03-14,0.98025317593885
2001-03-15,1.0002546568734423
2001-03-16,0.9799428804177306
2001-03-19,1.0203461360020272
2001-03-20,0.9731570343170657
2001-03-21,0.9830124104048725
2001-03-22,0.989845052778239
2001-03-23,1.0302377334622428
2001-03-26,1.0127526952341825
2001-03-27,1.0204420621080463
2001-03-28,0.972360493374295
2001-03-29,1.0038245400757608
2001-03-30,1.0104782594929544
2001-04-02,0.9786614529328369
2001-04-03,0.9666378926063143
2001-04-04,1.0041666809998502
2001-04-05,1.0378893089002663
2001-04-06,0.9847888034276776
2001-04-09,1.0111208456868228
2001-04-10,1.0182442939168734
2001-04-11,1.000685857659702
2001-04-12,1.018161283762356
2001-04-16,0.9894825497744213
2001-04-17,1.0141157074506462
2001-04-18,1.039745139696732
2001-04-19,1.0133066560316781
2001-04-20,0.9908473543313057
2001-04-23,0.9818473613915994
2001-04-24,0.9946006487777637
2001-04-25,1.0130776749479358
2001-04-26,1.0044655606135
2001-04-27,1.0166505117497096
2001-04-30,1.0069965490385104
2001-05-01,1.003079035047805
2001-05-02,0.9981897611600011
2001-05-03,0.9873045778035306
2001-05-04,1.0170117076748386
2001-05-07,0.9913614347776781
2001-05-08,0.9995248121293315
2001-05-09,0.9957999526907827
2001-05-10,1.0029439540876484
2001-05-11,0.9930967548583454
2001-05-14,1.0019980173273624
2001-05-15,1.004624769272006
2001-05-16,1.0235751222824743
2001-05-17,1.001551176019606
2001-05-18,1.0045684452752661
2001-05-21,1.0147216175824822
2001-05-22,0.9987085086460117
2001-05-23,0.983039375862895
2001-05-24,1.0029400239808717
2001-05-25,0.9881972090045976
2001-05-29,0.9920373234687639
2001-05-30,0.9859931254813102
2001-05-31,1.0051876565103093
2001-06-01,1.0061929569715604
2001-06-04,1.0048134666111557
2001-06-05,1.0114652332022385
2001-06-06,0.9916926058632579
2001-06-07,1.00360103330306
2001-06-08,0.9907171535876976
2001-06-11,0.992913385288628
2001-06-12,0.9982551940650269
2001-06-13,0.9914200880745464
2001-06-14,0.9775644282966973
2001-06-15,1.0016110841450858
2001-06-18,0.995158095940962
2001-06-19,1.004371091305149
2001-06-20,1.005254425687719
2001-06-21,1.0113535071936326
2001-06-22,0.9921661413774824
2001-06-25,0.9908016186488069
2001-06-26,0.998603464797438
2001-06-27,0.9994239424711497
2001-06-28,1.0055154211370922
2001-06-29,1.0036844422545892
2001-07-02,1.0124790351186361
2001-07-03,0.9997585732428207
2001-07-05,0.9804996892514477
2001-07-06,0.9783856273940258
2001-07-09,1.0054602409507165
2001-07-10,0.9879698958621995
2001-07-11,1.0010144642345324
2001-07-12,1.0237371986172157
2001-07-13,1.0086639419645957
2001-07-16,0.9874837648185443
2001-07-17,1.009361096325139
2001-07-18,0.9931879402496512
2001-07-19,1.0087594398106905
2001-07-20,0.9940202344206368
2001-07-23,0.9803032049788594
2001-07-24,0.990332406520614
2001-07-25,1.0110350687678182
2001-07-26,1.0104954048369028
2001-07-27,1.0038222517637652
2001-07-30,1.0003312560056383
2001-07-31,1.0041373146209556
2001-08-01,1.006262735697326
2001-08-02,1.0040949786253792
2001-08-03,0.9945355890411418
2001-08-06,0.9865503993819205
2001-08-07,1.00390711770816
2001-08-08,0.9814520337242265
2001-08-09,1.0029531265773541
2001-08-10,1.0034485175005916
2001-08-13,1.0002518571174759
2001-08-14,0.9995806460680016
2001-08-15,0.9913646694172707
2001-08-16,1.003467090954957
2001-08-17,0.9839866894490796
2001-08-20,1.0092503031602615
2001-08-21,0.9829415548135665
2001-08-22,1.0103612592534263
2001-08-23,0.9964106883327725
2001-08-24,1.0207545249310668
2001-08-27,0.9940345262462847
2001-08-28,0.9853779123810492
2001-08-29,0.9910787425418383
2001-08-30,0.9807856731587749
2001-08-31,1.0073246084695082
2001-09-04,0.9936050611316463
2001-09-05,1.002468444064674
2001-09-06,0.9742302252125596
2001-09-07,0.9814934297529541
2001-09-10,1.012232937500168
2001-09-17,0.9477517219032703
2001-09-18,0.9976026283955762
2001-09-19,0.9798173028473464
