Date,AMD,NVDA,INTC
2014-12-31,2.6700000762939453,19.34389877319336,31.738183975219727
2015-01-02,2.6700000762939453,19.421079635620117,31.79939842224121
2015-01-05,2.6600000858306885,19.093055725097656,31.44082260131836
2015-01-06,2.630000114440918,18.514183044433594,30.854856491088867
2015-01-07,2.5799999237060547,18.465944290161133,31.502042770385742
2015-01-08,2.609999895095825,19.160581588745117,32.08800506591797
2015-01-09,2.630000114440918,19.237775802612305,32.14922332763672
2015-01-12,2.630000114440918,18.99657440185547,32.00929260253906
2015-01-13,2.6600000858306885,18.96763038635254,31.921836853027344
2015-01-14,2.630000114440918,19.04481315612793,31.790653228759766
2015-01-15,2.5199999809265137,18.90974998474121,31.650711059570312
2015-01-16,2.390000104904175,19.25706672668457,31.87811279296875
2015-01-20,2.240000009536743,19.3149471282959,31.56325912475586
2015-01-21,2.450000047683716,19.5850887298584,31.904346466064453
2015-01-22,2.4700000286102295,19.922761917114258,32.28041076660156
2015-01-23,2.450000047683716,19.980653762817383,31.87811279296875
2015-01-26,2.609999895095825,19.893821716308594,31.318384170532227
2015-01-27,2.700000047683716,18.93868637084961,29.90157699584961
2015-01-28,2.630000114440918,18.62995719909668,29.542999267578125
2015-01-29,2.609999895095825,19.083406448364258,29.9190731048584
2015-01-30,2.569999933242798,18.523832321166992,28.89582061767578
2015-02-02,2.6700000762939453,18.92904281616211,29.4293155670166
2015-02-03,2.759999990463257,19.401782989501953,29.473039627075195
2015-02-04,2.8499999046325684,19.450023651123047,29.596355438232422
2015-02-05,3.309999942779541,19.768400192260742,29.89583969116211
2015-02-06,3.0299999713897705,19.681568145751953,29.332103729248047
2015-02-09,3.0399999618530273,19.662275314331055,29.006193161010742
2015-02-10,3.0399999618530273,20.212202072143555,29.684436798095703
2015-02-11,3.069999933242798,20.077133178710938,29.55232048034668
2015-02-12,3.119999885559082,21.514659881591797,30.063209533691406
2015-02-13,3.1500000953674316,21.524301528930664,30.26580047607422
2015-02-17,3.109999895095825,21.591840744018555,30.600521087646484
2015-02-18,3.0799999237060547,21.34099578857422,30.186519622802734
2015-02-19,3.059999942779541,21.398883819580078,30.13367462158203
2015-02-20,3.059999942779541,21.553251266479492,30.309837341308594
2015-02-23,3.059999942779541,21.379587173461914,29.737293243408203
2015-02-24,3.109999895095825,21.6071834564209,30.309837341308594
2015-02-25,3.0999999046325684,21.44253921508789,29.904653549194336
2015-02-26,3.0799999237060547,21.500654220581055,29.640409469604492
2015-02-27,3.109999895095825,21.365062713623047,29.288066864013672
2015-03-02,3.2100000381469727,21.88804817199707,30.00155258178711
2015-03-03,3.140000104904175,21.481281280517578,30.036781311035156
2015-03-04,3.049999952316284,21.72340202331543,30.05439567565918
2015-03-05,2.9800000190734863,22.139854431152344,29.710861206054688
2015-03-06,2.9200000762939453,21.839628219604492,29.235210418701172
2015-03-09,2.930000066757202,21.897735595703125,28.82121467590332
2015-03-10,2.9200000762939453,22.27545166015625,27.922754287719727
2015-03-11,2.8399999141693115,22.159225463867188,28.477689743041992
2015-03-12,2.759999990463257,21.955846786499023,27.129993438720703
2015-03-13,2.75,21.984899520874023,27.2445068359375
2015-03-16,2.759999990463257,22.246389389038086,27.156421661376953
2015-03-17,2.7699999809265137,22.517574310302734,26.94501495361328
2015-03-18,2.75,22.14954376220703,27.209264755249023
2015-03-19,2.740000009536743,22.488515853881836,27.07714080810547
2015-03-20,2.799999952316284,22.73064422607422,27.5792293548584
2015-03-23,2.8399999141693115,21.99458122253418,27.48233413696289
2015-03-24,2.7899999618530273,21.69434928894043,27.121183395385742
2015-03-25,2.630000114440918,20.377193450927734,26.32842445373535
2015-03-26,2.6500000953674316,20.30939483642578,26.495784759521484
2015-03-27,2.7200000286102295,20.706483840942383,28.18701171875
2015-03-30,2.700000047683716,20.79364585876465,27.711347579956055
2015-03-31,2.680000066757202,20.27066421508789,27.543989181518555
2015-04-01,2.690000057220459,20.348140716552734,27.1387996673584
2015-04-02,2.690000057220459,20.396564483642578,27.1387996673584
2015-04-06,2.700000047683716,20.987350463867188,27.341398239135742
2015-04-07,2.700000047683716,21.171358108520508,27.535184860229492
2015-04-08,2.7100000381469727,21.326324462890625,27.5792293548584
2015-04-09,2.7200000286102295,21.820255279541016,27.517566680908203
2015-04-10,2.759999990463257,22.043006896972656,28.125350952148438
2015-04-13,2.7799999713897705,21.839628219604492,27.949176788330078
2015-04-14,2.6700000762939453,21.655609130859375,27.737775802612305
2015-04-15,2.700000047683716,21.917104721069336,28.918109893798828
2015-04-16,2.869999885559082,21.78151512145996,28.953336715698242
2015-04-17,2.5799999237060547,21.500654220581055,28.60100746154785
2015-04-20,2.490000009536743,21.394115447998047,28.830026626586914
2015-04-21,2.3499999046325684,21.365062713623047,28.565767288208008
2015-04-22,2.2799999713897705,21.6071834564209,28.80359649658203
2015-04-23,2.3299999237060547,21.52001953125,28.495304107666016
2015-04-24,2.299999952316284,21.336008071899414,28.257478713989258
2015-04-27,2.3399999141693115,21.500654220581055,28.62742805480957
2015-04-28,2.309999942779541,21.6071834564209,29.08547019958496
2015-04-29,2.2799999713897705,21.44253921508789,28.970956802368164
2015-04-30,2.259999990463257,21.500654220581055,28.67146873474121
2015-05-01,2.309999942779541,22.0333194732666,29.437807083129883
2015-05-04,2.309999942779541,21.897735595703125,29.446617126464844
2015-05-05,2.2799999713897705,21.336008071899414,28.95864486694336
2015-05-06,2.2899999618530273,21.403804779052734,28.586017608642578
2015-05-07,2.319999933242798,21.78151512145996,28.603763580322266
