Date,SPY,AAPL,MMM,BA,CAT,CVX,CSCO,KO,DIS,GS,IBM,INTC,JNJ,JPM,MSFT,PFE
2008-09-02,101.97622680664062,20.79818344116211,53.62583923339844,49.54573440551758,49.214622497558594,55.891029357910156,18.6606502532959,16.278589248657227,27.686420440673828,143.4088134765625,86.55206298828125,16.084768295288086,51.65968322753906,29.951173782348633,20.84098243713379,12.608418464660645
2008-09-03,101.88860321044922,20.894540786743164,53.40715408325195,49.69615173339844,48.25284957885742,56.48826599121094,18.3149356842041,16.184602737426758,27.746166229248047,145.39527893066406,86.5008773803711,15.3439302444458,51.501251220703125,30.50425910949707,20.68718147277832,12.628150939941406
2008-09-04,98.82111358642578,20.176204681396484,52.58527374267578,47.40955352783203,45.552734375,54.501956939697266,17.50565528869629,16.20026969909668,26.918304443359375,139.5746307373047,84.05950164794922,14.617335319519043,50.73782730102539,29.121532440185547,20.264205932617188,12.279558181762695
2008-09-05,99.13182830810547,20.046049118041992,52.17057418823242,47.30425262451172,45.64536666870117,53.83092498779297,17.489946365356445,16.26919174194336,26.764680862426758,141.6045379638672,83.56975555419922,14.681447982788086,50.896270751953125,30.419761657714844,19.725873947143555,12.174323081970215
2008-09-08,101.17948150634766,19.763214111328125,53.67107391357422,48.07145309448242,46.008697509765625,54.387882232666016,18.36208152770996,16.723466873168945,28.096084594726562,147.23431396484375,85.73338317871094,14.937895774841309,52.0125846862793,31.917701721191406,20.087324142456055,12.5886869430542
2008-09-09,98.17572021484375,18.982301712036133,52.36662292480469,48.15419006347656,43.72891616821289,52.8713493347168,18.047794342041016,16.880109786987305,27.677888870239258,140.24258422851562,84.0887451171875,14.4819917678833,51.378807067871094,30.319896697998047,20.071945190429688,11.996744155883789
2008-09-10,98.57410430908203,18.973535537719727,51.7860107421875,46.416683197021484,44.75481033325195,54.46171951293945,18.063507080078125,16.858179092407227,27.96806526184082,136.70335388183594,86.28157043457031,14.360889434814453,51.29961395263672,30.2661190032959,20.333415985107422,11.970433235168457
2008-09-11,100.00028991699219,19.10369110107422,52.73607635498047,47.06354522705078,46.172542572021484,55.56222152709961,18.110652923583984,17.207735061645508,28.11315155029297,136.217529296875,87.12947845458984,14.3822603225708,51.249168395996094,31.994518280029297,21.02555274963379,12.095401763916016
2008-09-12,100.46240234375,18.6393985748291,52.89443588256836,47.612640380859375,46.635643005371094,56.52851104736328,18.43279457092285,17.318965911865234,28.38626480102539,133.77130126953125,86.96138000488281,14.360889434814453,50.83866500854492,31.625804901123047,21.240886688232422,12.246672630310059
2008-09-15,95.68189239501953,17.565631866455078,51.936824798583984,46.822853088378906,45.03266906738281,53.74370574951172,17.584230422973633,17.398405075073242,27.618148803710938,117.54109954833984,84.19840240478516,13.791015625,50.13287353515625,28.422500610351562,20.625652313232422,11.871774673461914
2008-09-16,97.28337097167969,17.50556182861328,52.577735900878906,46.42420196533203,46.11555480957031,54.93144989013672,17.91422462463379,17.430177688598633,27.746166229248047,115.38111114501953,84.82698059082031,13.876501083374023,50.26969528198242,31.295482635498047,19.987346649169922,11.713923454284668
2008-09-17,92.90921783447266,15.997541427612305,51.91419982910156,42.873939514160156,44.98992156982422,53.71685028076172,17.128511428833008,16.73424530029297,27.47305679321289,99.32440948486328,81.47924041748047,13.214014053344727,50.060848236083984,27.477643966674805,18.89531135559082,11.292984962463379
2008-09-18,95.66593170166016,16.780954360961914,53.15831756591797,43.708858489990234,46.53589630126953,55.61589050292969,17.91422462463379,16.966230392456055,28.539888381958008,93.68588256835938,84.14723205566406,13.719780921936035,51.083526611328125,30.957477569580078,19.425949096679688,11.832311630249023
2008-09-19,99.46522521972656,17.63446617126465,54.80208206176758,44.949928283691406,47.36942672729492,58.91741943359375,19.08493995666504,16.753314971923828,29.35068130493164,112.5965347290039,86.8736572265625,13.698410034179688,50.40653991699219,36.142662048339844,19.349050521850586,12.200632095336914
2008-09-22,97.2133560180664,16.4005126953125,53.309146881103516,44.23537063598633,46.02293014526367,58.60202407836914,18.157800674438477,16.32748794555664,28.087549209594727,104.77205657958984,84.94396209716797,13.178396224975586,49.268638610839844,31.34156608581543,19.533613204956055,11.884930610656738
2008-09-23,95.00162506103516,15.873644828796387,52.02730178833008,43.107112884521484,45.26776885986328,57.34716796875,17.859224319458008,16.10504722595215,27.763233184814453,108.47611999511719,84.3226547241211,13.270998001098633,49.08139419555664,31.157201766967773,19.564380645751953,11.845467567443848
2008-09-24,95.30613708496094,16.10767364501953,51.703067779541016,43.144718170166016,43.985389709472656,57.19283676147461,17.91422462463379,15.949329376220703,27.11460304260254,115.37242889404297,85.1266860961914,13.320870399475098,49.110191345214844,31.111112594604492,19.779705047607422,11.832311630249023
2008-09-25,96.79668426513672,16.510644912719727,52.577735900878906,43.189842224121094,44.14212417602539,58.69597625732422,18.448509216308594,16.3529109954834,27.71202850341797,117.54109954833984,87.79467010498047,13.228260040283203,49.95283126831055,33.38492202758789,20.464153289794922,12.25982666015625
2008-09-26,96.84476470947266,16.048852920532227,52.36662292480469,43.8668098449707,45.6880989074707,58.347042083740234,18.715652465820312,16.677047729492188,27.95099449157715,119.70109558105469,87.29032135009766,13.677041053771973,49.98164367675781,37.05679702758789,21.071691513061523,12.272987365722656
2008-09-29,89.25582885742188,13.172972679138184,50.00654220581055,41.72311782836914,42.66740798950195,52.00570297241211,17.12066078186035,16.21626853942871,25.37353515625,104.70265197753906,83.66478729248047,12.30221176147461,48.181148529052734,31.49520492553711,19.233688354492188,11.608688354492188
